Colegiul National Andrei Muresanu Bistrita,1
Colegiul Naţional Gheorghe Roşca Codreanu,1
Colegiul Național Gheorghe Șincai,1
Colegiul Național de Apărare,3
Colegiul Tehnic Anghel Saligny,2
Colegiul Uninominal I – Drobeta Turnu Severin,1
Colegiul juridic francoromân,1
Colegiul științific al Revistei de Științe Juridice,1
Universitatea Alexandru Ioan Cuza din Iași,23
Universitatea Babeş Bolyai,10
Universitatea Bogdan Petriceicu Hașdeu,1
Universitatea Braşov,2
Universitatea București,19
Universitatea California,1
Universitatea Claude Bernard,1
Universitatea Creştină Dimitrie Cantemir,5
Universitatea Danubius Galați,2
Universitatea Dunărea de jos Galați,7
Universitatea Hyperion Bucuresti,3
Universitatea Libera din Bruxelles,2
Universitatea Lucian Blaga Sibiu,2
Universitatea Naționala de Aparare,1
Universitatea Nicolae Titulescu,2
Universitatea Ovidius,4
Universitatea Oxford,1
Universitatea Paris I Panthéon Sorbonne,1
Universitatea Paris IV,1
Universitatea Petre Andrei din Iaşi,1
Universitatea Pitesti,1
Universitatea Ripon & York,1
Universitatea Româno – Americană,2
Universitatea Spiru Haret,20
Universitatea Tehnică ClujNapoca,1
Universitatea Tehnică Gheorghe Asachi Iași,4
Universitatea Temple,1
Universitatea Titu Maiorescu din București,4
Universitatea Transilvania Brașov,2
Universitatea Valahia,1
Universitatea Vasile Goldiş Arad,3
Universitatea de Medicina din Varna,1
Universitatea de Nord,3
Universitatea de Petrol si Gaze,1
Universitatea de Vest Timișoara,8
Universitatea de Vest Vasile Goldis,8
Universitatea din Birmingham,1
Universitatea din Craiova,8
Universitatea din Fribourg,1
Universitatea din Kassel,1
Universitatea din Lucerna,1
Universitatea din Petroșani,1
Universitatea din Poîtiers,1
Universitatea din Siena,1
Universitatea din Sud,1
Universitatea Ştefan cel Mare Suceava,1
