"164","Cristina-Teodora POP","ccr","Magistrat","http://www.ccr.ro/cristina-teodora-pop/",,"https://www.juridice.ro/wp-content/uploads/2016/09/CV-Cristina-Pop.pdf",NULL,,NULL,"2019-09-01 08:35:20"
"165","VARGA Attila","ccr","JUDECATOR",,,NULL,NULL,,NULL,"2019-09-01 08:37:29"
"166","Elena-Simina TĂNĂSESCU","ccr","judecator","https://drept.unibuc.ro/Prof.-univ.-dr.-Elena-Simina-Tanasescu-s16-a30-ro.htm",,"https://drept.unibuc.ro/dyn_doc/cv/simina-tanasescu-cv-2012.pdf",NULL,,NULL,"2019-09-01 08:38:53"
"167","Livia-Doina STANCIU","ccr","judecator",,,"https://www.luju.ro/static/files/2012/martie_2012/04/CV_stanciu.pdf",NULL,,NULL,"2019-09-01 08:39:51"
"168","Gheorghe STAN","ccr","judecator",,,"http://www.inspectiajudiciara.ro/Resources/CV%20pentru%20postare/Procurori/CV%20Stan%20Gheorghe.PDF",NULL,,NULL,"2019-09-01 08:40:45"
"169","Mona-Maria PIVNICERU","ccr","judecator",,,"https://media.hotnews.ro/media_server1/document-2012-08-6-12965618-0-mona-pivniceru-16-03-2012.pdf",NULL,,NULL,"2019-09-01 08:41:33"
"170","Daniel-Marius MORAR","ccr","judecator",,,"https://www.iaca.int/images/sub/governance/Mr._Daniel_Marius_Morar.pdf",NULL,,NULL,"2019-09-01 08:42:58"
"171","Marian ENACHE","ccr","judecator","http://www.cdep.ro/pls/parlam/structura2015.mp?idm=125&leg=2012&cam=2&pag=0",,NULL,NULL,,"Date biografice
Data si locul nasterii: 05.05.1954 Iasi
Studii şi specializări
1977 - Facultatea de drept
1998 - Doctorat Stiinte Juridice
Activitate profesională
1977 - Avocat
1990-1992 - Deputat
1993 - Diplomat Rep.Moldova
1996-2000 - Deputat
2000 - Cadru didactic universitar
2011 - Sec.gen.adj. Camera Deputatilor
Funcţii, activităţi într-un partid politic
1990-1992 vicepresdinte FSN
Funcţii, activităţi parlamentare anterioare
1990-1992 vicepresedinte Adunarea Deputatilor
Activitate publicistică, ştiinţifică, în foruri academice
studii si articole juridice publicate în reviste de specialitate
","2019-09-01 08:45:33"
"172","Cristian DELIORGA","ccr","judecator","http://www.ccr.ro/category/judecatori-avere/",,NULL,NULL,,NULL,"2019-09-01 08:48:47"
"173","Valer DORNEANU","ccr","președinte","http://www.ccr.ro/category/judecatori-avere/",,"http://www.avp.ro/cv-uri%20conducere/cv-dorneanu.pdf",NULL,,NULL,"2019-09-01 08:49:29"
"174","Cosmin-Marian VĂDUVA","ccr","magistrat","http://www.ccr.ro/category/magistrati-avere/",,"http://www.old.unibuc.ro/n/organizare/dirresumane/post-vaca/desf-conc-orga-in-facu/docs/2017/ian/16_16_17_17CV-Europass-20170103-Vaduva-RO.pdf",NULL,,NULL,"2019-09-01 08:51:51"
"175","Laura Afrodita TUTUNARU","ccr","magistrat","http://www.ccr.ro/category/magistrati-avere/",,NULL,NULL,,NULL,"2019-09-01 08:53:10"
"176","Cristina Cătălina TURCU","ccr","magistrat","http://www.ccr.ro/cristina-catalina-turcu/",,NULL,NULL,,NULL,"2019-09-01 08:54:09"
"177","Ingrid Alina TUDORA","ccr","magistrat","http://www.ccr.ro/ingrid-alina-tudora/",,NULL,NULL,,NULL,"2019-09-01 08:55:17"
"178","Oana Cristina PUICĂ","ccr","magistrat","http://www.ccr.ro/oana-cristina-puica-2/",,NULL,NULL,,NULL,"2019-09-01 08:56:16"
"179","Simina POPESCU","ccr","magistrat",,,NULL,NULL,,NULL,"2019-09-01 08:57:58"
"180","Fabian NICULAE","ccr","magistrat","http://www.ccr.ro/fabian-niculae/",,NULL,NULL,,NULL,"2019-09-01 09:02:35"
"181","Ramona Daniela MARIŢIU","ccr","magistrat","http://www.ccr.ro/ramona-daniela-maritiu/",,NULL,NULL,,NULL,"2019-09-01 09:03:46"
"182","Mihaela IONESCU","ccr","magistrat","http://www.ccr.ro/mihaela-ionescu/",,NULL,NULL,,NULL,"2019-09-01 09:04:45"
