"1","IOAN DENEȘ","Ministerul Apelor si Padurilor","MINISTRUL","http://apepaduri.gov.ro/ministru-2/",,"http://apepaduri.gov.ro/wp-content/uploads/2014/07/Ioan_Denes_CV-1.pdf",,,,"2019-08-24 12:28:25"
"2","Daniel-Constantin Coroamă","Ministerul Apelor si Padurilor","Secretar de stat pentru Păduri","http://apepaduri.gov.ro/secretar-de-stat-pentru-paduri/",,"http://apepaduri.gov.ro/wp-content/uploads/2017/03/CV-Daniel-Constantin-COROAM%C4%82.pdf",,,,"2019-08-24 12:30:59"
"3","ADRIANA PETCU","Ministerul Apelor si Padurilor","Secretar de stat pentru Ape","http://apepaduri.gov.ro/secretar-de-stat-pentru-ape/",,"http://apepaduri.gov.ro/wp-content/uploads/2017/03/CV_Adriana.Petcu_.SS_.Ape_-1.pdf",,,,"2019-08-24 12:31:47"
"4","CONSTANTIN-DAN DELEANU","Ministerul Apelor si Padurilor","Subsecretar de Stat","http://apepaduri.gov.ro/subsecretar-de-stat/",,NULL,,,,"2019-08-24 12:32:36"
"5","Győző István BÁRCZI","Ministerul Apelor si Padurilor","Secretar General","http://apepaduri.gov.ro/secretar-general/",,"http://apepaduri.gov.ro/wp-content/uploads/2017/02/CV-Europass-20170301-Ba%CC%81rczi-RO-2.pdf",,,,"2019-08-24 12:33:26"
"6","Ion ANGHEL","Ministerul Apelor si Padurilor","Secretar general adjunct","http://apepaduri.gov.ro/secretar-general-adjunct/",,"http://apepaduri.gov.ro/wp-content/uploads/2014/07/CV-Ion-Anghel-02.2017-ptr.-site.pdf",,,,"2019-08-24 12:34:21"
"7","Petre Daea ","Ministerul Agriculturii si Dezvoltarii Rurale
","Ministrul Agriculturii si Dezvoltarii Rurale","https://www.madr.ro/conducere/1-petre-daea.html",,"http://gov.ro/fisiere/ministri_fisiere/Petre_Daea.pdf",,,"Experiență profesională
• ianuarie 2017 - prezent  - Ministrul Agriculturii si Dezvoltării Rurale;
• 2012 - 2016 Deputat, Parlamentul României;
• 2009 - 2012 Senator, Parlamentul României;
• 2004 - 2008 Senator, Parlamentul României;
• iulie - decembrie 2004 - Ministru, Ministerul Agriculturii, Pădurilor si Dezvoltării Rurale;
• martie 2002 - iulie 2004 Secretar de Stat, Ministerul Agriculturii, Alimentației si Pădurilor;
• 2001 - 2002 Director General, DGAIA, jud. Mehedinți;
• 1997 - 2000 Șef. serv. DGAIA, jud. Mehedinți;
• 1996 - 1997 Director General, DGAIA, jud. Mehedinți;
• 1989 - 1996 Ing. pr. Stațiunea de Cercetare Producție Pomicola, jud Mehedinți;
• 1987 - 1989 Șef secție adj. pentru Probleme de Agricultura, CJ Mehedinți;
• 1986 Director DGAIA, jud. Mehedinți;
• 1980 - 1986 Inginer șef CUASC Șisești, Broșteni, jud. Mehedinți;
• 1973 - 1980 Inginer stagiar, șef ferma, inginer șef - CAP Șisești, jud. Mehedinți.

Educație și formare
Studii: 1973 - Facultatea de Agronomie Timișoara
Diplome: Inginer agronom
Specializări: 1982 - 1983 - Institutul de Pregătire a Cadrelor de Conducere din Economie și Administrație
                    Doctor în agronomie

Experință politică
Membru PSD din 2001

Limbi străine
• Engleză

Alte informații
Distincții. decorații:

Ordinul național „Serviciul Credincios” în grad de cavaler.","2019-08-31 19:31:39"
"8","Dumitru Daniel Botănoiu ","Ministerul Agriculturii si Dezvoltarii Rurale
","Secretar de Stat","https://www.madr.ro/conducere/4-dumitru-daniel-botanoiu.html",,NULL,,,"Data naşterii: 29 mai 1967

Experienţa profesională

• Ianuarie 2017 - prezent - Secretar de Stat, Ministerul Agriculturii şi Dezvoltării Rurale
• Mai 2012 – octombrie 2016 – Secretar de Stat, Ministerul Agriculturii şi Dezvoltării Rurale
• Octombrie 2009 – mai 2012 – Consilier, S.C. DANCOR - VALMEDIA AGENCY S.R.L.
• 2011- mai 2012 – Preşedinte, Confederaţia Naţională PROAGRO
• Aprilie – Octombrie 2009 - Ministerul Agriculturii, Pădurilor şi Dezvoltării Rurale - Director General - Direcţia Generală de Politici Agricole
• Iunie 2007 – martie 2009 – Federaţia Naţională a Producătorilor Agricoli din România FNPAR – Director Executiv
• Iulie 2005 – iunie 2007 – Preşedinte Executiv, Asociaţia Generală a Producătorilor Agricoli din România
• Mai 2006 – iunie 2007 – Asociaţia Naţională a Depozitarilor de Grâu din România
• Octombrie 2001 – mai 2005 -  Director General, Ministerul Agriculturii, Pădurilor şi Dezvoltării Rurale – Societatea Naţională a Produselor Agricole
• Iulie 2001 – octombrie 2001 – Ministerul Agriculturii, Apelor şi Pădurilor - Agenţia Domeniile Statului
• Decembrie 2000 – iunie 2001 – Director de filială, SC PANICOM Exim SRL, Bucuresti, filiala Balaci, judeţul Teleorman
• Iunie 1997 – decembrie 2000 – Director, SC Rofran SA Bucureşti
• Septembrie 1996 – Iunie 1997 – Agronomist, SC PANICOM Exim SRL Bucureşti

Educaţie şi formare

2008 – Doctor în Ştiinţe Agricole - Universitatea de Ştiinţe Agricole şi Medicină Veterinară, Bucureşti
2002 – 2006 – Facultatea de Drept, Universitatea Ecologică Bucureşti
1994 – 1995 – Master în Genetica Plantelor, Universitatea de Ştiinţe Agricole şi Medicină Veterinară, Bucureşti
1993 – Program TEMPUS Franţa, Universitatea Paris - Grignon
1989 – 1994 - Universitatea de Ştiinţe Agricole şi Medicină Veterinară, Bucureşti, diploma inginer.
1982  – 1985 – Liceul Agro-Industrial, Roşiorii de Vede

Limbi străine:

Franceză (înţelegere, vorbire, scriere – avansat)
Engleză (înţelegere, vorbire, scriere – mediu)

Cunoştinţe PC:

Windows, MS Office, Internet","2019-08-31 19:36:36"
"9","Daniel - Eugeniu Crunțeanu ","Ministerul Agriculturii si Dezvoltarii Rurale","Secretar de stat","https://www.madr.ro/conducere/37-daniel-eugeniu-crunteanu.html",,NULL,,,"Data naşterii: 01 noiembrie 1979

Experienţa profesională

• Februarie 2019 – prezent – Secretar de Stat, Ministerul Agriculturii și Dezvoltării Rurale

• 27.02.2017 – februarie 2019 - Director General Adjunct Active Fizice și Plăți Directe, AGENȚIA PENTRU FINANȚAREA INVESTIȚIILOR RURALE
• 01.10.2003 – prezent – Asistent universitar; Șef de lucrări (Lector); Conferențiar , CATEDRA DE ȘTIINTE AEROSPAȚIALE „ELIE CARAFOLI”, FACULTATEA DE INGINERIE AEROSPAŢIALĂ, UNIVERSITATEA POLITEHNICĂ DIN BUCUREŞTI, ROMÂNIA
   Responsabilități: Calculul și construcția motoarelor aeroreactoare; Procese staționare în turbomașini radiale și axiale; Combustie și poluare chimică; Geometry; Calculus; Methodes numeriques..
• 28.05.2009 – 07.06.2010; 05.12.2013 – 26.02.2017 – Director coordonator adjunct; Director adjunct, Șef Serviciu Active Fizice și Plăți Directe, OFICIUL JUDEȚEAN DE PLĂȚI PENTRU DEZVOLTARE RURALĂ ȘI PESCUIT IALOMIȚA
    Responsabilități: Coordonare și organizare activitate Oficiu județean
• 01.10.2003 – 31.05.2004 – Inginer, INSTITUTUL NAȚIONAL DE CERCETĂRI AEROSPAȚIALE „ELIE CARAFOLI”; LABORATORUL DE MATERIALE COMPOZITE ȘI TUB LUDWIEG
   Responsabilități: Cercetare în domeniul materialelor compozite

Educaţie şi formare

2003 – 2011 – Doctor în Inginerie aerospațială – „Studiul comparativ al curgerilor însoțite de reacții chimice, cu aplicații în gazodinamică motoarelor aeroreactoare”, Universitatea Politehnică din București
2007 – 2008 – Diplomă de master în Managementul afacerilor publice, Şcoala Națională de Studii Politice și Administrative – Facultatea de Administrație Publică
1998 – 2003 – Inginer diplomat în Sisteme de propulsie, Universitatea Politehnică din București – Facultatea de Inginerie Aerospațială București
1998 – 2003 – Certificat pedagogie, Universitatea Politehnică din București, Departamentul pentru Pregătirea Personalului Didactic
1994 – 1998 – Diplomă Bacalaureat, Liceul Teoretic „MIHAI VITEAZUL”, Slobozia, Ialomița

Limbi străine:

Engleză (înţelegere, vorbire, scriere – utilizator experimentat, C1)
Franceză (înţelegere, vorbire, scriere – utilizator independent, B2)
Italiană (înţelegere, vorbire, scriere – utilizator independent, B2)

Cunoştinţe PC:

Microsoft Windows – nivel ridicat
Software: OpenOffice, Microsoft Office (Outlook Express, Word, Excel, Powerpoint, Publisher) – nivel ridicat
Limbaj Fortran – nivel ridicat

Alte informații:

- verificator de proiecte – certificat 2013;
- expert scurtă durată POSDRU – activitate practică studenți;
- conducere a proiectelor de diplomă și disertație pentru mai mult de 50 de studenți și masteranzi;
- membru al Asociatiei Internaționale pentru Știință și Tehnologie din România (AUSTRO);
- membru al Asociației Internaționale pentru Matematici Aplicate și Mecanică GAMM – Germania;
- membru al American Association for Science and Technology.

Anexe:","2019-08-31 19:37:24"
"10","Claudiu Sorin Roșu Mareș ","Ministerul Agriculturii si Dezvoltarii Rurale","Secretar de Stat","https://www.madr.ro/conducere/6-claudiu-sorin-rosu-mares.html",,NULL,,,"Data naşterii: 10 februarie 1977

Experienţa profesională

• 25 aprilie 2017 - prezent - Secretar de Stat, Ministerul Agriculturii şi Dezvoltării Rurale
• 15 iulie 07.2014 - 24 aprilie 2017 - Director - Oficiu Judeţean pentru Finanţarea Investiţiilor Rurale Bistriţa-Năsăud
• Noiembrie 2012 – 14 iulie 2014 – Director - Oficiu Judeţean de Plăţi pentru Dezvoltare Rurală şi Pescuit Bistriţa-Năsăud
• Februarie 2010 - octombrie 2012 – Director, SC Alemi Flora SRL
• Mai 2009 – Octombrie 2009 - Director Coordonator - Direcţia pentru Agricultură şi Dezvoltare Rurală Bistriţa-Năsăud
• Iunie 2007 – aprilie 2009 – Director achiziții - SC.LECH-LACTO SRL
• Iulie 2005 – aprilie 2007 – Director achiziții - SC G&B LUMIDAN SRL  RODNA (ROMÂNIA)
• 10 septembrie 2004 – 24 iunie 2005 – Administrator - SC BIAGEN SELECT SRL
• 10 iulie 2004 – 10 octombrie 2004 -  Rasponsabil însămânțări artificiale - FEDERAŢIA CRESCĂTORILOR DE TAURINE DIN TRANSILVANIA
• 2003 – 2004 – Inginer zootehnist - SC AGRICOLA SRL

Educaţie şi formare

mai 2004 – Curs specializare „Orientare spre noul PNDR 2014-2020, pe baza celor mai bune informaţii accesibile”, USAMV
iulie 2010 – august 2010 – Curs specializare „Formarea reprezentanţilor grupurilor potenţiale – Axa 4 LEADER”, MADR
mai 2010 – Curs specializare „Sensibilizarea actorilor locali cu privire la abordarea LEADER PNDR”, MADR
octombrie 2009 - noiembrie 2009 –  M.E.C.I., Universitatea de Ştiinţe Agricole și Medicina Veterinară, Cluj-Napoca
01 octombrie 1997 - 15 iunie 2002 - Universitatea de Ştiinţe Agricole şi Medicină Veterinară, Facultatea de Zootehnie și Biotehnologii, Cluj-Napoca
15 septembrie 1991 - 15 iunie 1995 – Liceul Silvic, Bistriţa-Năsăud

Limbi străine:

Engleză (înţelegere, vorbire, scriere – mediu)
Franceză (înţelegere, vorbire, scriere – începător)
Germană (înţelegere, vorbire, scriere – începător)

Cunoştinţe PC:

Windows, MS Office, Internet","2019-08-31 19:38:06"
